City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
334,Grootfontein,,87.17,clear sky,-19.57,18.12,Meteor Travel Inn
336,Alvaraes,BR,75.42,light rain,-3.22,-64.8,Av. Castelo Branco. Ginásio Ermelino vieira.
339,Narathiwat,TH,91.4,scattered clouds,6.33,101.75,MUSOR
341,Mae Sai,TH,84.2,few clouds,20.43,99.88,Piyaporn Hill Paradise Hotel
343,Bambanglipuro,ID,80.92,light rain,-7.95,110.28,Puri Brata
344,Tsiroanomandidy,MG,85.19,broken clouds,-18.77,46.03,
345,Kampong Chhnang,KH,85.05,moderate rain,12.17,104.55,រមណីយដ្ឋាន ទឹកធ្លាក់ស្រែអំពិល
347,Sao Filipe,CV,79.65,overcast clouds,14.9,-24.5,Tortuga B&B
353,Takoradi,GH,80.01,scattered clouds,4.88,-1.76,Raybow International Hotel
354,Kavieng,PG,83.91,clear sky,-2.57,150.8,Nusa Island Retreat
360,Kande,TG,78.8,scattered clouds,9.96,1.04,
364,Maraba,BR,77.0,light rain,-5.37,-49.12,Hotel Del Principe
365,Sur,OM,82.85,clear sky,22.57,59.53,Sur Plaza Hotel
366,Naze,JP,77.0,few clouds,28.37,129.48,奄美ポートタワーホテル
370,Amguri,IN,89.6,few clouds,26.8,94.53,কণভাই দোকান
372,Upata,VE,75.99,overcast clouds,8.01,-62.4,Posada Villa Nela
374,Poum,NC,76.78,overcast clouds,-20.23,164.02,Gîte kajeon
376,Faanui,PF,80.38,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
379,Dabwali,IN,90.32,clear sky,29.95,74.73,Hotel Siddarth
380,Maragogi,BR,75.99,overcast clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
383,Gewane,ET,88.95,few clouds,10.17,40.65,
384,Luganville,VU,77.0,broken clouds,-15.53,167.17,The Espiritu Hotel
386,Holly Hill,US,78.01,few clouds,29.24,-81.04,Hilton Daytona Beach Oceanfront Resort
387,Bogande,BF,85.15,few clouds,12.97,-0.14,Auberge Wendkouni
388,Ippy,CF,77.5,light rain,6.27,21.22,
391,Manokwari,ID,84.36,broken clouds,-0.87,134.08,Swiss Belhotel Manokwari
392,Port Hedland,AU,82.4,scattered clouds,-20.32,118.57,The Esplanade Hotel
398,Kaka,TM,76.8,overcast clouds,37.35,59.61,
399,Mardin,TR,82.4,clear sky,37.31,40.74,Reyhani Kasri Hotel
400,Ampanihy,MG,91.13,clear sky,-24.7,44.75,Angora Hotel
406,Kudahuvadhoo,MV,83.44,clear sky,2.67,72.89,Kudahuvadhoo Retreat
408,Daru,PG,80.78,broken clouds,-9.08,143.21,New century hotel
409,Aborlan,PH,78.8,light rain,9.44,118.55,Kevina Transient House
415,Marawi,PH,82.0,moderate rain,8.0,124.29,Derogongan Residence
416,Kutum,SD,80.22,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
417,Bambous Virieux,MU,80.6,few clouds,-20.34,57.76,Casa Tia Villa
420,Matara,LK,83.84,moderate rain,5.95,80.54,Amaloh Boutique Resort
425,San Policarpo,PH,83.98,light rain,12.18,125.51,Zal-Ann Beach Resort
427,Port Blair,IN,84.54,scattered clouds,11.67,92.75,Fortune Resort Bay Island
428,Sibolga,ID,85.35,clear sky,1.74,98.78,Hotel Syariah CN Darussalam
431,Port Moresby,PG,84.2,haze,-9.44,147.18,Lamana Hotel
433,Cockburn Town,TC,82.54,scattered clouds,21.46,-71.14,Osprey Beach Hotel
434,Beloha,MG,93.51,clear sky,-25.17,45.05,
437,Morant Bay,JM,78.8,few clouds,17.88,-76.41,Whispering Bamboo Cove Resort
440,Antalya,TR,80.6,clear sky,36.77,30.72,
441,Labuhan,ID,86.18,moderate rain,-6.88,112.21,bador sepret
449,Marzuq,YE,78.55,few clouds,14.4,46.47,
456,Marovoay,MG,87.8,few clouds,-16.1,46.63,
459,Cap Malheureux,MU,80.01,clear sky,-19.98,57.61,Pereybere Hotel & Spa
460,Port-Gentil,GA,82.4,scattered clouds,-0.72,8.78,Fengshui Residence
461,Vila Do Maio,CV,78.8,broken clouds,15.13,-23.22,Residence 'I Delfini'
462,Benguela,AO,78.8,broken clouds,-12.58,13.41,Hotel Praia Morena
463,Tezu,IN,86.13,clear sky,27.92,96.17,Circuit House
465,Mareeba,AU,82.4,light rain,-17.0,145.43,Trinity Plains Tourist Park
466,Sainte-Marie,RE,78.8,overcast clouds,-20.9,55.55,Les pailles en queue de Sainte Marie
468,Banda Aceh,ID,86.36,scattered clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
474,Carutapera,BR,78.19,scattered clouds,-1.2,-46.02,Lidera
475,Bubaque,GW,82.15,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
479,Quatre Cocos,MU,80.6,few clouds,-20.21,57.76,Emeraude Beach Attitude Hotel
484,Keti Bandar,PK,88.2,clear sky,24.14,67.45,Haji laloo memon house
485,Lumphat,KH,81.95,light rain,13.49,106.98,Lumphat Homestay
488,Ambon,ID,84.2,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
493,Tuy Hoa,VN,80.06,moderate rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
504,Pattao,PH,85.19,light rain,18.25,121.82,Casa Ferreras
505,Vaitape,PF,81.23,light rain,-16.52,-151.75,Conrad Bora Bora Nui
509,Bilma,NE,82.4,clear sky,18.69,12.92,Expeditions Ténére voyages
510,Kruisfontein,ZA,75.99,clear sky,-34.0,24.73,Oyster Bay House Rental
513,Sabalgarh,IN,90.64,clear sky,26.25,77.4,Kailadevi studio
515,Angoche,MZ,85.91,clear sky,-16.23,39.91,Guest House HESADA
519,Banganapalle,IN,87.8,clear sky,15.32,78.23,S. Habibunisa Manzil
520,Kaset Sombun,TH,81.41,light rain,16.28,101.95,อาณาจักร มิน' กะล่อน.
522,Labuan,MY,84.2,moderate rain,5.28,115.24,Tiara Labuan Hotel
524,Yulara,AU,87.8,clear sky,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
525,Mangrol,IN,88.81,clear sky,21.12,70.12,Hotel The Royal Honours
528,Kantilo,IN,87.8,haze,20.35,85.18,Hostel Building at Kantilo Nilamadhaba Mahavidyalaya
539,Pizarro,CO,77.76,light rain,4.95,-77.37,"Playa Pizarro, Bajo Baudó, Chocó, Colombia"
540,Pitimbu,BR,75.2,few clouds,-7.47,-34.81,Reserva do Abiaí
542,Tari,NG,84.33,scattered clouds,12.41,4.49,
544,Kalabo,ZM,92.79,clear sky,-14.97,22.68,Sikakubete Guest House Kalabo Town Council
551,Mackay,AU,78.8,moderate rain,-21.15,149.2,International Lodge Motel
552,Ciudad Bolivar,VE,75.56,overcast clouds,8.12,-63.55,Hotel Edi
553,Cozumel,MX,75.2,moderate rain,20.51,-86.95,Cozumel Palace® All Inclusive Resort
554,Ahuimanu,US,78.8,broken clouds,21.44,-157.84,Paradise Bay Resort
555,Pangai,TO,75.4,light rain,-19.8,-174.35,Ha'apai Beach Resort
556,Hambantota,LK,89.6,moderate rain,6.12,81.12,Bungalow 63
560,Gouyave,GD,80.6,few clouds,12.16,-61.73,Rumboat Retreat
565,Ewa Beach,US,78.8,clear sky,21.32,-158.01,Hampton Inn & Suites Oahu/Kapolei
567,Ormara,PK,78.96,clear sky,25.21,64.64,
568,Namatanai,PG,82.09,broken clouds,-3.67,152.43,Namatanai Hotel
569,Garowe,SO,84.63,overcast clouds,8.41,48.48,Curubo Hotel
570,Itacoatiara,BR,77.32,light rain,-3.14,-58.44,BBB Rooms Centro Itacoatiara AM
573,Kandrian,PG,77.58,overcast clouds,-6.22,149.55,Kandrian Station
574,Abu Kamal,SY,83.62,clear sky,34.45,40.92,محطة التلفاز
575,Gizo,SB,82.58,overcast clouds,-8.1,156.84,Imagination Island
577,Kendari,ID,85.53,few clouds,-3.94,122.5,Hotel Wixel
578,Buchanan,LR,80.6,mist,5.88,-10.05,Kamaneahn Hotel Inc
580,Pundaguitan,PH,84.02,moderate rain,6.37,126.17,Leonardo Family Beach House 1
583,Alyangula,AU,86.0,overcast clouds,-13.85,136.42,Groote Eylandt Lodge
584,Kununurra,AU,93.2,broken clouds,-15.77,128.73,Hotel Kununurra
588,Primero De Enero,CU,80.6,overcast clouds,21.95,-78.43,Motel Dos Palmas (Maria Machete)
590,Auki,SB,79.32,overcast clouds,-8.77,160.7,Auki Motel
